"NAF","HS4","weight"
"3011Z",8902,0.0008
"3011Z",8904,0.0021
"3012Z",8903,1
"3020Z",8606,0.0102
"3020Z",8604,0.0334
"3020Z",8601,0.0247
"3020Z",8602,0.0059
"3020Z",8603,0.331
"3020Z",8607,0.5249
"3020Z",8605,0.0151
"3020Z",8608,0.0548
"3030Z",8801,0.0001
"3030Z",8412,0.0111
"3030Z",8407,0.0283
"3030Z",8805,0.0004
"3030Z",9401,0.0189
"3030Z",8803,0.1101
"3030Z",8409,0.0288
"3030Z",8802,0.5878
"3030Z",8411,0.2145
"3092Z",8512,0.7228
"3092Z",8714,0.1588
"3092Z",8713,0.0251
"3092Z",8712,0.0807
"3092Z",8715,0.0126
"3091Z",8711,0.6307
"3091Z",8714,0.3693
"3040Z",8710,1
"3099Z",8716,1
"3240Z",9503,0.7359
"3240Z",9504,0.2641
"1431Z",6115,1
"1520Z",6402,0.1471
"1520Z",6406,0.0196
"1520Z",6405,0.0423
"1520Z",6404,0.2982
"1520Z",6403,0.4754
"1520Z",6401,0.0174
"1512Z",4202,0.9227
"1512Z",4205,0.0283
"1512Z",9113,0.0403
"1512Z",4201,0.0084
"1512Z",9605,0.0002
"1310Z",5205,0.0133
"1310Z",5101,0.0196
"1310Z",5110,0.0001
"1310Z",1505,0.0015
"1310Z",5004,0.0004
"1310Z",5005,0.0002
"1310Z",5006,0.0007
"1310Z",5511,0.0082
"1310Z",5510,0.0124
"1310Z",5509,0.0317
"1310Z",5508,0.0062
"1310Z",5506,0.0251
"1310Z",5403,0.0028
"1310Z",5402,0.2568
"1310Z",5401,0.0067
"1310Z",5308,0.0001
"1310Z",5307,0.0004
"1310Z",5306,0.0139
"1310Z",5303,0.0006
"1310Z",5302,0.0097
"1310Z",5002,0.0001
"1310Z",5301,0.5036
"1310Z",5207,0.0346
"1310Z",5206,0.0056
"1310Z",5204,0.004
"1310Z",5202,0.0162
"1310Z",5203,0.0025
"1310Z",5109,0.0035
"1310Z",5108,0.0008
"1310Z",5107,0.0032
"1310Z",5106,0.0035
"1310Z",5105,0.0026
"1310Z",5103,0.0011
"1310Z",5406,0.0013
"1310Z",5507,0.0066
"1310Z",5104,0.0002
"1310Z",5305,0.0003
"1320Z",5512,0.0778
"1320Z",5211,0.034
"1320Z",5210,0.0117
"1320Z",5209,0.0299
"1320Z",5208,0.0494
"1320Z",5311,0.0005
"1320Z",5408,0.0299
"1320Z",5407,0.1565
"1320Z",5007,0.0357
"1320Z",5801,0.0255
"1320Z",5111,0.0147
"1320Z",5113,0.0002
"1320Z",5802,0.0011
"1320Z",7019,0.3364
"1320Z",5803,0.0004
"1320Z",5212,0.0188
"1320Z",5310,0.0001
"1320Z",5309,0.016
"1320Z",5112,0.0192
