"activitycode_1","activitycode_2","proximity"
"1039A","5621Z",0.9995
"1039A","7010Z",0.9995
"1039A","8292Z",0.9995
"1039B","0161Z",0.9995
"1039B","0163Z",0.9995
"1039B","1039B",0.9995
"1039B","1071A",0.9995
"1039B","4638B",0.9995
"1041A","1041B",0.9995
"1041A","4633Z",0.9995
"1041A","5210B",0.9995
"1041B","1041A",0.3328333333
"1051A","1051A",0.4995
"1051A","1051C",0.4995
"1051A","4722Z",0.9995
"1051C","0141Z",0.9995
"1051C","1051C",0.9995
"1051C","3511Z",0.9995
"1051C","4633Z",0.4995
"1051C","4690Z",0.9995
"1051C","4711B",0.9995
"1051C","4729Z",0.9995
"1051C","5520Z",0.9995
"1051C","5911B",0.9995
"1051C","6820B",0.4995
"1051D","1051A",0.9995
"1052Z","1071D",0.9995
"1052Z","3530Z",0.9995
"1052Z","5610A",0.4995
"1052Z","5610C",0.2495
"1052Z","6630Z",0.9995
"1052Z","7010Z",0.9995
"1061A","1091Z",0.4995
"1061A","4621Z",0.9995
"1061A","6420Z",0.9995
"1061B","0161Z",0.9995
"1061B","1073Z",0.9995
"1061B","4638B",0.9995
"1071A","1071B",0.9995
"1071A","1071C",0.2495
"1071A","1071D",0.9995
"1071A","1085Z",0.4995
"1071A","5610C",0.9995
"1071A","5621Z",0.9995
"1071B","1071A",0.3328333333
"1071B","1071B",0.0904090909
"1071B","1071C",0.0449545455
"1071B","1071D",0.2495
"1071B","1073Z",0.9995
"1071B","4399C",0.9995
"1071B","4711B",0.9995
"1071B","4721Z",0.9995
"1071B","4724Z",0.4995
"1071B","4781Z",0.9995
"1071B","5610A",0.4995
"1071B","5610B",0.9995
"1071B","5610C",0.0471190476
"1071B","5621Z",0.9995
"1071B","5629B",0.9995
"1071B","6420Z",0.9995
"1071B","6630Z",0.4995
"1071B","6820A",0.9995
"1071B","6820B",0.9995
"1071B","7010Z",0.9995
"1071B","7410Z",0.9995
"1071C","1052Z",0.9995
"1071C","1071A",0.1661666667
"1071C","1071B",0.3328333333
"1071C","1071C",0.0995
"1071C","1071D",0.1995
"1071C","1072Z",0.3328333333
"1071C","1073Z",0.9995
"1071C","1082Z",0.4995
"1071C","4511Z",0.9995
"1071C","4520A",0.4995
"1071C","4617A",0.9995
"1071C","4724Z",0.1245
"1071C","4729Z",0.9995
"1071C","4781Z",0.1423571429
"1071C","4932Z",0.9995
"1071C","4939A",0.9995
"1071C","5520Z",0.4995
"1071C","5610A",0.1245
"1071C","5610C",0.036537037
"1071C","5621Z",0.3328333333
"1071C","5630Z",0.4995
"1071C","6420Z",0.1661666667
"1071C","6630Z",0.1245
"1071C","6810Z",0.4995
"1071C","6820A",0.9995
"1071C","6820B",0.0317580645
"1071C","6831Z",0.4995
"1071C","6832A",0.9995
"1071C","7010Z",0.0828333333
"1071C","7022Z",0.1661666667
"1071C","7311Z",0.9995
"1071C","7711A",0.9995
"1071C","7732Z",0.9995
"1071C","8299Z",0.9995
"1071C","8559A",0.4995
"1071D","1071B",0.9995
"1071D","1071C",0.062
"1071D","1071D",0.1106111111
"1071D","1072Z",0.3328333333
"1071D","1082Z",0.2495
"1071D","4724Z",0.062
"1071D","4761Z",0.9995
"1071D","4791B",0.9995
"1071D","5520Z",0.9995
"1071D","5610A",0.1423571429
"1071D","5610C",0.1106111111
"1071D","5621Z",0.3328333333
"1071D","6820B",0.4995
"1071D","6832A",0.9995
"1072Z","1072Z",0.4995
"1072Z","1082Z",0.9995
"1072Z","1085Z",0.9995
"1072Z","5510Z",0.9995
"1072Z","5610A",0.9995
"1072Z","5621Z",0.9995
"1073Z","1073Z",0.9995
"1073Z","1085Z",0.9995
"1073Z","5610C",0.3328333333
"1073Z","5621Z",0.9995
"1081Z","1101Z",0.9995
"1082Z","1071C",0.9995
"1082Z","1071D",0.3328333333
"1082Z","1083Z",0.9995
"1082Z","1200Z",0.9995
"1082Z","4638B",0.9995
"1082Z","4639B",0.9995
"1082Z","4791B",0.9995
"1082Z","5610C",0.9995
"1082Z","6420Z",0.9995
"1082Z","6430Z",0.9995
"1082Z","6810Z",0.9995
"1082Z","7022Z",0.9995
"1083Z","4619B",0.9995
"1083Z","4637Z",0.9995
"1083Z","4638B",0.9995
"1083Z","4724Z",0.9995
"1083Z","5610C",0.4995
"1083Z","5630Z",0.9995
"1083Z","6630Z",0.9995
"1084Z","1101Z",0.9995
"1084Z","2041Z",0.9995
"1085Z","1013A",0.9995
"1085Z","1020Z",0.9995
"1085Z","1032Z",0.9995
"1085Z","1051A",0.9995
"1085Z","1052Z",0.9995
"1085Z","1071D",0.9995
"1085Z","1085Z",0.9995
"1085Z","1089Z",0.9995
"1085Z","4618Z",0.9995
"1085Z","4722Z",0.4995
"1085Z","4781Z",0.9995
"1085Z","5610A",0.3328333333
"1085Z","5610C",0.1245
"1085Z","6820B",0.9995
"1085Z","7010Z",0.9995
"1086Z","1051A",0.4995
"1086Z","1086Z",0.9995
"1086Z","1089Z",0.9995
"1086Z","3320C",0.9995
"1089Z","0111Z",0.9995
"1089Z","1013A",0.9995
"1089Z","1039A",0.9995
"1089Z","1039B",0.9995
"1089Z","1072Z",0.9995
"1089Z","1082Z",0.9995
"1089Z","1089Z",0.3328333333
"1089Z","2053Z",0.9995
"1089Z","2059Z",0.9995
"1089Z","4631Z",0.9995
"1089Z","4633Z",0.3328333333
"1089Z","4723Z",0.9995
"1089Z","4729Z",0.9995
"1089Z","4781Z",0.9995
"1089Z","5610C",0.1423571429
"1089Z","5621Z",0.9995
"1089Z","7010Z",0.4995
"1091Z","1051D",0.9995
"1091Z","1061A",0.9995
"1091Z","1062Z",0.9995
"1091Z","1091Z",0.4995
"1091Z","1092Z",0.9995
"1091Z","4621Z",0.2495
"1091Z","4675Z",0.9995
"1091Z","4752B",0.9995
"1092Z","1091Z",0.9995
"1092Z","1092Z",0.9995
